ID,dia,mes,año,zona,dias_trabajo,trabajadores,perros,vacas,toros,vaquillonas,novillos,terneros,muertos,extraidos,nutri
BSS2012025,20,1,2025,BSS,2,1,1,0,0,0,0,0,4,4,Muy Bueno
BR2812025,28,1,2025,BR,1,1,1,1,0,0,0,0,0,1,Muy Bueno
BSO322025,3,2,2025,BSO,1,1,1,1,0,0,0,0,0,1,Muy Bueno
BSO422025,4,2,2025,BSO,1,1,1,0,0,0,0,0,2,2,Muy Bueno
BSO2122025,21,2,2025,BSO,1,1,2,2,0,0,0,0,0,2,Muy Bueno
BSO2622025,26,2,2025,BSO,1,3,2,0,1,0,0,0,0,1,Muy Bueno
BSS1332025,13,3,2025,BSS,1,1,2,1,0,0,0,0,0,1,Muy Bueno
BSS1532025,15,3,2025,BSS,1,1,2,0,0,0,0,2,0,2,Muy Bueno
BSS1732025,17,3,2025,BSS,1,1,2,2,0,0,0,0,0,2,Muy Bueno
BSS1732025,17,3,2025,BSS,1,1,2,2,0,0,0,0,0,2,Muy Bueno
BSS642025,6,4,2025,BSS,1,1,3,0,0,0,1,0,0,1,Muy Bueno
BR942025,9,4,2025,BR,1,1,3,0,0,0,0,0,1,1,Muy Bueno
BR1842025,18,4,2025,BR,1,1,3,2,0,0,0,1,0,3,Muy Bueno
BR452025,4,5,2025,BR,1,1,3,0,0,1,0,0,0,1,Muy Bueno
BR552025,5,5,2025,BR,1,1,3,0,1,0,0,0,0,1,Muy Bueno
BSS2242025,22,4,2025,BSS,1,3,3,0,0,0,0,0,0,0,Desconocido
BSS1852025,18,5,2025,BSS,1,2,4,0,0,0,0,4,0,4,Muy Bueno
BR1952025,19,5,2025,BR,1,2,4,0,0,0,0,4,0,4,Muy Bueno
BR2152025,21,5,2025,BR,1,2,4,1,1,0,0,2,0,4,Muy Bueno
