Idsalida,d,m,y,zona,ycodif,WPT,impactos,dientes,edad,sexo,altocruz,anchocruz,largo,CE,nutri,abertura,extrmuni,fotogral,fotodent,preñez
20180128BSS,28,01,2018,BSS,3,BSS01,2,8,5,M,NA,125,290,34,MB,SI,NO,SI,SI,NC
20190224BSS,24,02,2019,BSS,4,BSS02,3,8,5,M,163,120,300,40,MB,SI,NO,SI,SI,NC
20190224BSS,24,02,2019,BSS,4,BSS03,5,8,5,M,162,122,300,35,MB,NO,SI,SI,SI,NC
20191210BSS,10,12,2019,BSS,4,BSS4,1,6,4,M,NA,NA,NA,NA,MB,SI,NO,SI,SI,NC
20180423MSC,23,04,2018,MSC,3,MSC01,3,NA,5,M,160,NA,240,NA,MB,si,NO,si,si,NC
20180423MSC,23,04,2018,MSC,3,MSC02,1,NA,5,M,165,NA,234,NA,MB,si,NO,SI,SI,NC
20180423MSC,23,04,2018,MSC,3,MSC03,1,NA,5,H,171,NA,246,NA,MB,si,NO,si,si,si
20180423MSC,23,04,2018,MSC,3,MSC04,1,NA,5,M,150,NA,259,NA,MB,si,NO,si,si,NC
20190411MSC,11,04,2019,MSC,4,MSC 5 ,3,NA,2,H,NA,NA,NA,NA,NA,NA,NA,NA,NA,no
20171110BSE,10,11,2017,BSE,2,BSE1,4,8,5,M,160,109,270,37,MB,SI,NO,SI,SI,NC
20181029BSE,29,10,2018,BSE,3,BSE2,2,8,5,M,140,100,206,30,MB,SI,NO,SI,SI,NC
20181029BSE,29,10,2018,BSE,3,BSE3,4,8,5,M,161,164,300,NA,MB,SI,NO,SI,SI,NC
20181029BSE,29,10,2018,BSE,3,BSE4,1,DL,1,M,124,66,193,NA,R,SI,NO,SI,SI,NC
20181029BSE,29,10,2018,BSE,3,BSE5,,8,5,M,140,110,270,NA,MB,SI,NO,SI,SI,NC
20190910BSE,10,09,2019,BSE,4,BSE6,2,8,5,M,153,108,271,37,MB,SI,NO,SI,SI,NC
20191108BSE,08,11,2019,BSE,4,BSE7,4,8,5,M,NA,NA,NA,NA,MB,SI,NO,SI,SI,NC
20170521BSO,21,05,2017,BSO,2,BSO1,1,8,5,M,157,107,278,36,MB,si,no,si,si,NC
20170521BSO,21,05,2017,BSO,2,BSO2,1,2,2,M,150,77,232,31,D,si,no,si,si,NC
20170521BSO,21,05,2017,BSO,2,BSO3,3,8,5,M,160,110,244,NA,MB,si,no,si,si,NC
20170521BSO,21,05,2017,BSO,2,BSO4,1,DL,1,H,115,74,174,NA,MB,si,no,si,si,no
20170521BSO,21,05,2017,BSO,2,BSO5,3,8,5,H,128,95,271,NA,R,si,no,si,si,no
20170521BSO,21,05,2017,BSO,2,BSO6,1,8,5,H,138,91,247,NA,MB,si,no,si,si,si
20170521BSO,21,05,2017,BSO,2,BSO7,1,NA,2,H,132,96,226,NA,MB,si,no,si,si,no
20170521BSO,21,05,2017,BSO,2,BSO8,1,DL,1,H,130,85,217,NA,MB,si,no,si,si,no
20170521BSO,21,05,2017,BSO,2,BSO9,1,DL,1,H,111,70,178,NA,MB,si,no,si,si,no
20170521BSO,21,05,2017,BSO,2,BSO10,4,8,5,H,153,105,260,NA,MB,si,no,si,si,si
20180522BSO,22,05,2018,BSO,3,BSO11,1,8,5,M,167,125,287,40,MB,si,no,si,si,NC
20180225BSO,25,02,2018,BSO,3,BSO12,1,DL,1,M,79,52,127,11,MB,si,no,si,si,NC
20180225BSO,25,02,2018,BSO,3,BSO13,5,8,5,M,180,115,285,40,MB,si,no,si,si,NC
20180225BSO,25,02,2018,BSO,3,BSO14,2,2,2,H,137,86,223,NA,MB,si,no,si,si,si
20180225BSO,25,02,2018,BSO,3,BSO15,2,8,5,M,160,124,252,38,MB,si,no,si,si,NC
20180225BSO,25,02,2018,BSO,3,BSO16,3,8,5,H,122,85,200,NA,MB,si,no,si,si,no
20180226BSO,26,02,2018,BSO,3,BSO17,1,8,5,M,163,120,267,31,MB,si,no,si,si,NC
20180226BSO,26,02,2018,BSO,3,BSO18,2,DL,1,M,130,81,206,34,MB,si,no,si,si,NC
20180226BSO,26,02,2018,BSO,3,BSO19,2,2,2,M,148,99,236,31,MB,si,no,si,si,NC
20180226BSO,26,02,2018,BSO,3,BSO20,3,8,5,M,167,128,277,37,MB,si,no,si,si,NC
20180324BSO,24,03,2018,BSO,3,BSO21,1,DL,1,M,140,97,228,28,MB,si,no,si,si,NC
20180324BSO,24,03,2018,BSO,3,BSO22,4,8,5,M,168,118,290,36,MB,si,no,si,si,NC
20180324BSO,24,03,2018,BSO,3,BSO23,4,2,2,M,156,118,257,33,MB,si,no,si,si,NC
20180325BSO,25,03,2018,BSO,3,BSO24,2,8,5,M,176,124,260,36,MB,,,,,NC
20180325BSO,25,03,2018,BSO,3,BSO25,3,DL,1,H,106,60,140,NA,MB,,,,,no
20180325BSO,25,03,2018,BSO,3,BSO26,1,DL,1,H,95,59,136,NA,MB,,,,,no
20180325BSO,25,03,2018,BSO,3,BSO27,2,2,2,H,139,87,219,NA,MB,,,,,no
20180418BSO,18,04,2018,BSO,3,BSO28,2,8,5,M,160,115,270,34,MB,si,no,si,si,NC
20180418BSO,18,04,2018,BSO,3,BSO29,2,8,5,M,178,120,270,40,MB,SI,no,si,si,NC
20180418BSO,18,04,2018,BSO,3,BSO30,4,8,5,M,140,110,270,38,MB,SI,no,si,si,NC
20180418BSO,18,04,2018,BSO,3,BSO31,2,8,5,M,160,110,270,33,MB,SI,no,si,si,NC
20180419BSO,19,04,2018,BSO,3,BSO32,3,8,5,M,160,110,290,33,MB,si,no,si,si,NC
20180420BSO,20,04,2018,BSO,3,BSO33,1,8,5,M,160,112,285,38,MB,si,no,si,si,NC
20181020BSO,20,10,2018,BSO,3,BSO34,2,8,5,H,130,80,245,NA,R,SI,NO,SI,SI,si
20181020BSO,20,10,2018,BSO,3,BSO35,1,8,5,H,121,73,215,NA,R,SI,NO,SI,SI,si
20181020BSO,20,10,2018,BSO,3,BSO36,1,4,3,H,113,72,220,NA,R,SI,NO,SI,SI,no
20181021BSO,21,10,2018,BSO,3,BSO37,1,DL,1,H,110,61,167,NA,MB,SI,NO,SI,SI,no
20190325BSO,25,03,2019,BSO,4,BSO38,2,2,2,M,124,88,239,33,MB,si,no,si,si,NC
20190326BSO,26,03,2019,BSO,4,BSO39,3,DL,1,H,123,85,200,NA,MB,si,no,si,si,no
20190326BSO,26,03,2019,BSO,4,BSO40,1,DL,1,H,93,59,138,NA,MB,si,no,si,si,no
20190326BSO,26,03,2019,BSO,4,BSO41,2,8,5,M,150,105,278,39,MB,si,no,si,si,NC
20190326BSO,26,03,2019,BSO,4,BSO42,2,8,5,M,145,103,266,39,MB,si,no,si,si,NC
20190326BSO,26,03,2019,BSO,4,BSO43,1,6,4,H,117,89,237,NA,MB,si,no,si,si,si
20190326BSO,26,03,2019,BSO,4,BSO44,2,DL,1,H,105,71,193,NA,MB,si,no,si,si,no
20190326BSO,26,03,2019,BSO,4,BSO45,3,6,4,H,129,88,222,NA,MB,si,no,si,si,si
20190326BSO,26,03,2019,BSO,4,BSO46,2,2,2,M,130,90,247,31,MB,si,no,si,si,NC
20190326BSO,26,03,2019,BSO,4,BSO47,1,DL,1,H,103,71,189,NA,MB,si,no,si,si,no
20190326BSO,26,03,2019,BSO,4,BSO48,2,DL,1,H,115,84,200,NA,MB,si,no,si,si,no
20190326BSO,26,03,2019,BSO,4,BSO49,1,DL,1,M,100,58,153,NA,MB,si,no,si,si,NC
20190326BSO,26,03,2019,BSO,4,BSO50,2,8,5,H,130,90,237,NA,MB,si,no,si,si,si
20190326BSO,26,03,2019,BSO,4,BSO51,2,4,3,M,136,100,240,34,MB,si,no,si,si,NC
20190326BSO,26,03,2019,BSO,4,BSO52,2,8,5,H,136,92,225,NA,MB,si,no,si,si,si
20190326BSO,26,03,2019,BSO,4,BSO53,1,8,5,H,135,95,216,NA,MB,si,no,si,si,no
20190326BSO,26,03,2019,BSO,4,BSO54,2,2,3,H,118,90,227,NA,MB,si,no,si,si,no
20190425BSO,25,04,2019,BSO,4,BSO55,4,2,2,M,116,75,219,29,MB,SI,NO,SI,SI ,NC
20190425BSO,25,04,2019,BSO,4,BSO56,3,8,5,M,126,89,271,38,MB,SI,NO,SI,SI,NC
20190425BSO,25,04,2019,BSO,4,BSO57,2,2,2,M,123,89,223,28,MB,SI,NO,SI,SI,NC
20190425BSO,25,04,2019,BSO,4,BSO58,2,8,5,M,150,105,253,37,MB,SI,NO,SI,SI,NC
20190425BSO,25,04,2019,BSO,4,BSO59,2,4,3,H,115,87,221,NA,MB,SI,NO,SI,SI,si
20190425BSO,25,04,2019,BSO,4,BSO60,3,4,3,H,123,87,205,NA,MB,SI,NO,SI,SI,si
20190425BSO,25,04,2019,BSO,4,BSO61,3,8,5,M,150,108,235,35,MB,SI,NO,SI,SI,NC
20190425BSO,25,04,2019,BSO,4,BSO62,6,4,3,M,145,105,235,35,MB,SI,NO,SI,SI,NC
20190425BSO,25,04,2019,BSO,4,BSO63,2,4,3,M,140,88,226,30,MB,SI,NO,SI,SI,NC
20190508BSO,08,05,2019,BSO,4,BSO64,4,8,5,H,NA,NA,230,NA,MB,no,NO,SI,SI,no
20190508BSO,08,05,2019,BSO,4,BSO65,2,DL,1,M,131,89,230,27,MB,si,NO,SI,SI,NC
20190508BSO,08,05,2019,BSO,4,BSO66,3,8,5,M,158,121,282,38,MB,si,NO,SI,SI,NC
20190508BSO,08,05,2019,BSO,4,BSO67,3,8,5,M,133,94,227,27,MB,si,NO,SI,SI,NC
20190508BSO,08,05,2019,BSO,4,BSO68,5,8,5,M,128,110,262,37,MB,si,NO,SI,SI,NC
20190617BSO,17,06,2019,BSO,4,BSO69,3,8,5,H,130,100,229,NA,MB,si,NO,SI,SI,si
20190617BSO,17,06,2019,BSO,4,BSO70,3,8,5,H,145,98,230,NA,MB,si,NO,SI,SI,si
20190617BSO,17,06,2019,BSO,4,BSO71,1,DL,1,M,98,72,170,20,MB,si,NO,SI,SI,NC
20190617BSO,17,06,2019,BSO,4,BSO72,2,8,5,H,127,93,30,NA,MB,si,NO,SI,SI,no
20190617BSO,17,06,2019,BSO,4,BSO73,4,DL,1,M,124,89,218,25,MB,si,NO,SI,SI,NC
20190617BSO,17,06,2019,BSO,4,BSO74,2,2,2,M,125,98,230,30,MB,si,NO,SI,SI,NC
20190617BSO,17,06,2019,BSO,4,BSO75,2,8,5,M,132,92,225,30,MB,si,NO,SI,SI,NC
20190617BSO,17,06,2019,BSO,4,BSO76,2,8,5,M,159,121,233,38,MB,si,NO,SI,SI,NC
20190627BSO,27,06,2019,BSO,4,BSO77,3,8,5,M,150,125,205,38,MB,si,NO,SI,SI,NC
20190627BSO,27,06,2019,BSO,4,BSO78,4,6,4,M,130,96,248,31,MB,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO79,2,8,5,H,133,95,236,NA,NA,si,NO,SI,SI,si
20190702BSO,02,07,2019,BSO,4,BSO80,2,2,2,H,99,93,214,NA,NA,si,NO,SI,SI,si
20190702BSO,02,07,2019,BSO,4,BSO81,2,8,5,H,133,92,238,NA,NA,si,NO,SI,SI,si
20190702BSO,02,07,2019,BSO,4,BSO82,4,4,3,M,140,88,238,37,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO83,2,DL,1,H,93,59,150,NA,NA,si,NO,SI,SI,no
20190702BSO,02,07,2019,BSO,4,BSO84,2,8,5,M,150,43,270,35,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO85,2,8,5,H,112,77,212,NA,NA,si,NO,SI,SI,si
20190702BSO,02,07,2019,BSO,4,BSO86,2,DL,1,M,102,70,167,18,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO87,2,6,4,M,143,91,245,30,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO88,2,8,5,M,145,105,258,38,NA,si,NO,SI,SI,NC
20190702BSO,02,07,2019,BSO,4,BSO89,2,4,3,H,128,88,231,29,NA,si,NO,SI,SI,si
20190704BSO,04,07,2019,BSO,4,BSO90,2,8,5,M,132,83,265,37,NA,si,NO,SI,SI,NC
20190704BSO,04,07,2019,BSO,4,BSO91,3,8,5,M,150,108,279,39,NA,si,NO,SI,SI,NC
20190704BSO,04,07,2019,BSO,4,BSO92,2,8,5,M,148,112,286,NA,NA,si,NO,SI,SI,NC
20190712BSO,12,07,2019,BSO,4,BSO93,3,DL,1,H,125,85,175,NA,MB,si,NO,SI,SI,no
20190712BSO,12,07,2019,BSO,4,BSO94,3,DL,1,H,114,75,192,NA,MB,si,NO,SI,SI,no
20190712BSO,12,07,2019,BSO,4,BSO95,3,DL,1,M,125,74,225,NA,MB,si,NO,SI,SI,NC
20190712BSO,12,07,2019,BSO,4,BSO96,1,2,2,M,130,93,215,32,MB,si,NO,SI,SI,NC
20190812BSO,12,08,2019,BSO,4,BSO97,4,8,5,M,138,102,255,36,MB,SI,NO,SI,SI,NC
20190812BSO,12,08,2019,BSO,4,BSO98,2,8,5,H,128,88,240,NA,R,SI,NO,SI,SI,no
