ID,y,m,d,zona,ycodif,cantidad,horas,km,CPUE
2016321BR,2016,3,21,BR,1,4,5,5,0.8
2016331BR,2016,3,31,BR,1,2,11,8.47,0.236127509
201641BR,2016,4,1,BR,1,0,10,14.64,0
2016415BR,2016,4,15,BR,1,3,11,13.66,0.219619327
2016416BR,2016,4,16,BR,1,1,5,7.63,0.131061599
2016425BR,2016,4,25,BR,1,3,9.5,15.61,0.192184497
2016426BR,2016,4,26,BR,1,4,10,16.69,0.23966447
2016513BR,2016,5,13,BR,1,1,7,9.26,0.107991361
2016514BR,2016,5,14,BR,1,1,5,7.36,0.135869565
2016527BR,2016,5,27,BR,1,6,5,10.5,0.571428571
2016528BR,2016,5,28,BR,1,1,7,10.5,0.095238095
201664BR,2016,6,4,BR,1,3,5,13.24,0.226586103
201665BR,2016,6,5,BR,1,5,4,7.75,0.64516129
201669BR,2016,6,9,BR,1,2,6,7,0.285714286
2016610BR,2016,6,10,BR,1,0,5,7.02,0
2016623BR,2016,6,23,BR,1,0,7,8.18,0
2016624BR,2016,6,24,BR,1,1,5.5,10.61,0.094250707
201671BR,2016,7,1,BR,1,1,12.00,9.50,0.105263158
201672BR,2016,7,2,BR,1,1,4.33,6.80,0.147058824
201677BR,2016,7,7,BR,1,3,5.25,11.70,0.256410256
2016723BR,2016,7,23,BR,1,2,6.00,10.61,0.188501414
2016724BR,2016,7,24,BR,1,2,5.00,7.02,0.284900285
2016815BR,2016,8,15,BR,1,6,9.00,11.20,0.535714286
2016816BR,2016,8,16,BR,1,0,6.00,9.00,0
2016923BR,2016,9,23,BR,1,2,10.00,17.29,0.1156738
2016924BR,2016,9,24,BR,1,4,9.00,12.43,0.321802092
2016930BR,2016,9,30,BR,1,2,10.00,14.28,0.140056022
2016101BR,2016,10,1,BR,1,1,6.00,14.59,0.068540096
20161022BR,2016,10,22,BR,1,0,8.00,8.75,0
20161023BR,2016,10,23,BR,1,7,11.00,19.87,0.352289884
20161029BR,2016,10,29,BR,1,1,8.00,13.00,0.076923077
20161030BR,2016,10,30,BR,1,5,9.00,17.00,0.294117647
2016115BR,2016,11,5,BR,1,1,7.00,12.70,0.078740157
2016116BR,2016,11,6,BR,1,0,3.00,6.71,0
20161118BR,2016,11,18,BR,1,1,4.75,35.10,0.028490028
20161119BR,2016,11,19,BR,1,5,10.33,12.80,0.390625
20161120BR,2016,11,20,BR,1,2,8.00,14.10,0.141843972
20161126BR,2016,11,26,BR,1,2,11.00,12.20,0.163934426
20161130BR,2016,11,30,BR,1,1,2.00,2.00,0.5
2016127BR,2016,12,7,BR,1,2,7.00,9.00,0.222222222
20161217BR,2016,12,17,BR,1,1,8.00,10.18,0.098231827
20161223BR,2016,12,23,BR,1,3,8.00,13.45,0.223048327
20161228BR,2016,12,28,BR,1,3,9.00,10.50,0.285714286
20161231BR,2016,12,31,BR,1,4,8.50,9.30,0.430107527
201714BR,2017,1,4,BR,2,2,7.00,11.40,0.175438596
201716BR,2017,1,6,BR,2,3,8.00,14.30,0.20979021
2017114BR,2017,1,14,BR,2,4,10.00,15.50,0.258064516
2017118BR,2017,1,18,BR,2,1,7.00,10.60,0.094339623
2017126BR,2017,1,26,BR,2,6,5.00,7.60,0.789473684
2017127BR,2017,1,27,BR,2,2,7.00,11.70,0.170940171
2017131BR,2017,1,31,BR,2,4,4.50,7.00,0.571428571
201722BR,2017,2,2,BR,2,3,5.17,6.64,0.451807229
201729BR,2017,2,9,BR,2,0,5.00,10.70,0
2017210BR,2017,2,10,BR,2,1,7.33,10.30,0.097087379
2017220BR,2017,2,20,BR,2,1,8.00,11.70,0.085470085
2017222BR,2017,2,22,BR,2,0,5.00,5.00,0
201733BR,2017,3,3,BR,2,2,7.00,8.50,0.235294118
201734BR,2017,3,4,BR,2,1,7.00,14.89,0.067159167
2017312BR,2017,3,12,BR,2,1,7.00,7.39,0.135317997
2016326BR,2016,3,26,BR,1,2,6.00,7.80,0.256410256
2017327BR,2017,3,27,BR,2,1,7.00,10.90,0.091743119
2017330BR,2017,3,30,BR,2,2,6.00,10.50,0.19047619
201743BR,2017,4,3,BR,2,3,6.00,12.50,0.24
2017410BR,2017,4,10,BR,2,0,7.00,13.00,0
2017417BR,2017,4,17,BR,2,14,7.00,9.79,1.430030644
2017512BR,2017,5,12,BR,2,5,7.00,8.89,0.562429696
2017520BR,2017,5,20,BR,2,1,6.00,9.40,0.106382979
2017528BR,2017,5,28,BR,2,4,8.00,4.87,0.821355236
201764BR,2017,6,4,BR,2,2,6.00,9.39,0.212992545
2017618BR,2017,6,18,BR,2,0,6.50,15.00,0
2017619BR,2017,6,19,BR,2,6,7.33,9.90,0.606060606
2017625BR,2017,6,25,BR,2,1,NA,NA,NA
201771BR,2017,7,1,BR,2,2,9.00,12.60,0.158730159
201772BR,2017,7,2,BR,2,0,4.50,17.50,0
2017715BR,2017,7,15,BR,2,2,5.00,8.65,0.231213873
2017716BR,2017,7,16,BR,2,1,6.00,8.73,0.114547537
2017722BR,2017,7,22,BR,2,1,9.00,14.80,0.067567568
2017729BR,2017,7,29,BR,2,1,4.00,9.10,0.10989011
201785BR,2017,8,5,BR,2,0,7.50,12.70,0
201786BR,2017,8,6,BR,2,1,6.00,6.10,0.163934426
2017829BR,2017,8,29,BR,2,1,8.00,10.50,0.095238095
2017831BR,2017,8,31,BR,2,0,5.00,7.86,0
201793BR,2017,9,3,BR,2,3,7.00,10.50,0.285714286
201794BR,2017,9,4,BR,2,0,4.00,1.40,0
201795BR,2017,9,5,BR,2,1,6.00,16.50,0.060606061
2017916BR,2017,9,16,BR,2,3,4.00,5.80,0.517241379
2017917BR,2017,9,17,BR,2,0,3.00,NA,NA
2017923BR,2017,9,23,BR,2,16,9.00,14.20,1.126760563
2017924BR,2017,9,24,BR,2,1,5.50,12.00,0.083333333
2017930BR,2017,9,30,BR,2,4,7.00,12.40,0.322580645
20171121BR,2017,11,21,BR,2,2,7.50,10.30,0.194174757
2017122BR,2017,12,2,BR,2,11,8.00,12.00,0.916666667
2017123BR,2017,12,3,BR,2,4,6.33,9.22,0.433839479
2017129BR,2017,12,9,BR,2,7,10.00,14.30,0.48951049
20171210BR,2017,12,10,BR,2,0,7.00,10.80,0
20171216BR,2017,12,16,BR,2,3,8.00,14.40,0.208333333
20171217BR,2017,12,17,BR,2,0,7.50,13.00,0
201812BR,2018,1,2,BR,3,0,8.00,7.68,0
201817BR,2018,1,7,BR,3,5,9.00,9.00,0.555555556
2018121BR,2018,1,21,BR,3,5,6.50,10.48,0.477099237
2018122BR,2018,1,22,BR,3,0,7.00,6.13,0
2018225BR,2018,2,25,BR,3,2,7.00,7.00,0.285714286
2018531BR,2018,5,31,BR,3,0,2.00,1.78,0
201861BR,2018,6,1,BR,3,0,5.00,4.45,0
201865BR,2018,6,5,BR,3,1,6.50,9.59,0.104275287
201866BR,2018,6,6,BR,3,0,5.00,8.67,0
201868BR,2018,6,8,BR,3,0,6.00,8.79,0
2018612BR,2018,6,12,BR,3,0,7.00,10.60,0
2018613BR,2018,6,13,BR,3,0,6.00,8.60,0
2018614BR,2018,6,14,BR,3,0,7.00,9.13,0
2018615BR,2018,6,15,BR,3,0,7.00,8.79,0
2018625BR,2018,6,25,BR,3,0,7.50,10.00,0
2018626BR,2018,6,26,BR,3,0,6.00,8.98,0
2018712BR,2018,7,12,BR,3,1,6.33,9.12,0.109649123
2018713BR,2018,7,13,BR,3,0,5.00,4.30,0
2018723BR,2018,7,23,BR,3,0,7.50,12.80,0
2018724BR,2018,7,24,BR,3,0,5.50,9.00,0
201885BR,2018,8,5,BR,3,0,5.50,9.11,0
201886BR,2018,8,6,BR,3,0,7.00,10.10,0
201887BR,2018,8,7,BR,3,0,4.50,5.86,0
2018813BR,2018,8,13,BR,3,0,8.00,9.21,0
2018824BR,2018,8,24,BR,3,1,7.00,7.50,0.133333333
2018825BR,2018,8,25,BR,3,1,7.00,8.60,0.11627907
2018826BR,2018,8,26,BR,3,0,4.50,5.80,0
201896BR,2018,9,6,BR,3,2,11.75,11.50,0.173913043
201897BR,2018,9,7,BR,3,0,2.75,3.59,0
2018914BR,2018,9,14,BR,3,0,8.33,11.50,0
2018915BR,2018,9,15,BR,3,0,9.75,16.30,0
2018916BR,2018,9,16,BR,3,0,1.50,2.39,0
2018922BR,2018,9,22,BR,3,2,8.75,11.30,0.17699115
2018923BR,2018,9,23,BR,3,4,6.00,5.92,0.675675676
2018927BR,2018,9,27,BR,3,1,9.00,13.00,0.076923077
2018928BR,2018,9,28,BR,3,1,10.83,17.40,0.057471264
2018929BR,2018,9,29,BR,3,0,1.00,2.50,0
2018108BR,2018,10,8,BR,3,4,9.50,13.70,0.291970803
2018109BR,2018,10,9,BR,3,2,7.50,9.95,0.201005025
2018118BR,2018,11,8,BR,3,1,7.42,10.70,0.093457944
2018119BR,2018,11,9,BR,3,3,7.00,12.90,0.23255814
20181113BR,2018,11,13,BR,3,5,8.83,13.60,0.367647059
20181114BR,2018,11,14,BR,3,2,5.83,10.50,0.19047619
20181117BR,2018,11,17,BR,3,8,11.00,15.50,0.516129032
20181118BR,2018,11,18,BR,3,0,5.00,7.52,0
20181126BR,2018,11,26,BR,3,10,12.50,17.00,0.588235294
2018128BR,2018,12,8,BR,3,5,8.75,13.00,0.384615385
2018129BR,2018,12,9,BR,3,4,7.00,10.70,0.373831776
20181213BR,2018,12,13,BR,3,1,8.00,14.00,0.071428571
20181214BR,2018,12,14,BR,3,0,7.00,12.00,0
201917BR,2019,1,7,BR,4,1,8.50,12.20,0.081967213
2019110BR,2019,1,10,BR,4,0,7.00,8.60,0
2019114BR,2019,1,14,BR,4,3,10.00,11.20,0.267857143
2019115BR,2019,1,15,BR,4,0,6.00,6.27,0
2019116BR,2019,1,16,BR,4,0,4.83,7.21,0
2019118BR,2019,1,18,BR,4,2,7.00,6.42,0.31152648
2019123BR,2019,1,23,BR,4,1,6.50,6.21,0.161030596
2019218BR,2019,2,18,BR,4,0,7.00,10.70,0
2019228BR,2019,2,28,BR,4,0,6.50,8.31,0
201938BR,2019,3,8,BR,4,3,7.00,7.23,0.414937759
2019311BR,2019,3,11,BR,4,0,7.00,8.99,0
2019312BR,2019,3,12,BR,4,1,6.00,7.44,0.134408602
2019314BR,2019,3,14,BR,4,0,7.00,5.94,0
2019318BR,2019,3,18,BR,4,0,8.00,7.70,0
2019319BR,2019,3,19,BR,4,0,8.00,7.70,0
2019426BR,2019,4,26,BR,4,4,6.00,5.39,0.742115028
201955BR,2019,5,5,BR,4,2,8.67,10.40,0.192307692
2019510BR,2019,5,10,BR,4,0,7.00,9.30,0
2019515BR,2019,5,15,BR,4,0,5.00,6.97,0
2019522BR,2019,5,22,BR,4,0,6.00,8.39,0
2019524BR,2019,5,24,BR,4,0,5.00,7.24,0
2019528BR,2019,5,28,BR,4,1,7.00,6.24,0.16025641
2019530BR,2019,5,30,BR,4,1,6.00,8.87,0.112739572
201964BR,2019,6,4,BR,4,1,6.00,6.10,0.163934426
2019613BR,2019,6,13,BR,4,0,5.00,6.32,0
2019627BR,2019,6,27,BR,4,1,7.75,6.00,0.166666667
201974BR,2019,7,4,BR,4,1,NA,7.00,0.142857143
2019720BR,2019,7,20,BR,4,1,4.25,9.00,0.111111111
2019724BR,2019,7,24,BR,4,1,5.00,7.59,0.131752306
2019725BR,2019,7,25,BR,4,0,6.00,6.18,0
2019729BR,2019,7,29,BR,4,1,6.50,6.56,0.152439024
2019731BR,2019,7,31,BR,4,1,6.50,6.21,0.161030596
201985BR,2019,8,5,BR,4,5,7.00,10.70,0.46728972
201987BR,2019,8,7,BR,4,0,5.00,9.60,0
201989BR,2019,8,9,BR,4,1,5.50,8.16,0.12254902
2019816BR,2019,8,16,BR,4,2,5.50,8.73,0.229095074
2019821BR,2019,8,21,BR,4,1,6.00,8.58,0.116550117
2019827BR,2019,8,27,BR,4,0,5.00,8.70,0
2019830BR,2019,8,30,BR,4,1,5.00,6.30,0.158730159
201992BR,2019,9,2,BR,4,1,5.00,8.10,0.12345679
2019911BR,2019,9,11,BR,4,0,4.50,7.00,0
2019912BR,2019,9,12,BR,4,1,4.00,6.00,0.166666667
2019918BR,2019,9,18,BR,4,0,6.00,6.19,0
2019920BR,2019,9,20,BR,4,0,6.50,6.36,0
2019924BR,2019,9,24,BR,4,0,7.00,10.10,0
2019926BR,2019,9,26,BR,4,0,6.50,8.70,0
2019104BR,2019,10,4,BR,4,0,7.25,7.55,0
20191010BR,2019,10,10,BR,4,0,3.00,7.30,0
20191017BR,2019,10,17,BR,4,0,6.50,7.00,0
20191024BR,2019,10,24,BR,4,0,6.75,9.00,0
20191028BR,2019,10,28,BR,4,3,7.50,9.83,0.305188199
20191111BR,2019,11,11,BR,4,0,7.00,6.00,0
20191113BR,2019,11,13,BR,4,0,7.00,9.31,0
20191116BR,2019,11,16,BR,4,0,6.00,4.00,0
20191223BR,2019,12,23,BR,4,0,6.00,6.97,0
20191227BR,2019,12,27,BR,4,0,6.50,7.00,0
20191230BR,2019,12,30,BR,4,0,7.50,3.75,0
202012BR,2020,1,2,BR,5,1,5.67,4.47,0.223713647
202019BR,2020,1,9,BR,5,0,4.00,6.10,0
2020110BR,2020,1,10,BR,5,0,4.00,5.90,0
2020116BR,2020,1,16,BR,5,0,8.00,8.31,0
2020117BR,2020,1,17,BR,5,0,9.00,9.86,0
2020118BR,2020,1,18,BR,5,0,6.00,6.38,0
202032BR,2020,3,2,BR,5,1,4.00,3.18,0.314465409
202035BR,2020,3,5,BR,5,4,5.00,NA,NA
2017521BSO,2017,5,21,BSO,2,10,9.00,10.20,0.980392157
2018522BSO,2018,5,22,BSO,3,1,6.00,8.00,0.125
2018225BSO,2018,2,25,BSO,3,5,9.00,19.10,0.261780105
2018226BSO,2018,2,26,BSO,3,4,11.00,18.40,0.217391304
2018324BSO,2018,3,24,BSO,3,3,3.00,4.53,0.662251656
2018325BSO,2018,3,25,BSO,3,4,8.00,15.40,0.25974026
2018418BSO,2018,4,18,BSO,3,4,8.00,10.00,0.4
2018419BSO,2018,4,19,BSO,3,1,7.50,10.00,0.1
2018420BSO,2018,4,20,BSO,3,1,3.00,10.00,0.1
20181020BSO,2018,10,20,BSO,3,3,12.00,19.30,0.155440415
20181021BSO,2018,10,21,BSO,3,1,5.00,5.89,0.169779287
2019325BSO,2019,3,25,BSO,4,1,9.00,7.27,0.137551582
2019326BSO,2019,3,26,BSO,4,16,7.50,6.16,2.597402597
2019425BSO,2019,4,25,BSO,4,9,9.50,6.96,1.293103448
201958BSO,2019,5,8,BSO,4,5,5.50,4.50,1.111111111
2019617BSO,2019,6,17,BSO,4,8,8.00,10.00,0.8
2019627BSO,2019,6,27,BSO,4,2,7.75,6.51,0.307219662
201972BSO,2019,7,2,BSO,4,11,5.00,6.17,1.782820097
201974BSO,2019,7,4,BSO,4,3,8.00,2.47,1.214574899
2019712BSO,2019,7,12,BSO,4,4,4.00,7.00,0.571428571
2019718BSO,2019,7,18,BSO,4,0,4.50,13.20,0
2019812BSO,2019,8,12,BSO,4,2,6.00,4.91,0.407331976
2019814BSO,2019,8,14,BSO,4,3,6.50,4.86,0.617283951
2019820BSO,2019,8,20,BSO,4,1,6.50,8.26,0.121065375
2019828BSO,2019,8,28,BSO,4,1,6.00,5.80,0.172413793
2019829BSO,2019,8,29,BSO,4,1,6.25,7.20,0.138888889
201994BSO,2019,9,4,BSO,4,2,8.50,9.40,0.212765957
201995BSO,2019,9,5,BSO,4,0,6.00,NA,NA
201996BSO,2019,9,6,BSO,4,0,6.00,9.00,0
2019923BSO,2019,9,23,BSO,4,2,7.75,7.63,0.262123198
2019930BSO,2019,9,30,BSO,4,2,7.50,4.74,0.421940928
2019102BSO,2019,10,2,BSO,4,0,6.75,3.61,0
20191015BSO,2019,10,15,BSO,4,1,6.00,10.50,0.095238095
20171110BSE,2017,11,10,BSE,2,1,NA,NA,NA
20181029BSE,2018,10,29,BSE,3,4,NA,NA,NA
2019910BSE,2019,9,10,BSE,4,1,5.00,6.86,0.145772595
2019118BSE,2019,11,8,BSE,4,1,8.00,NA,NA
2018423MSC,2018,4,23,MSC,3,4,3.50,7.64,0.523560209
2019410MSC,2019,4,10,MSC,4,0,NA,NA,NA
2019411MSC,2019,4,11,MSC,4,1,NA,14,0.071428571
2018128BSS,2018,1,28,BSS,3,1,NA,1.7,0.588235294
2019129BSS,2019,1,29,BSS,4,0,NA,6.2,0
2019224BSS,2019,2,24,BSS,4,2,9.00,11,0.181818182
2019225BSS,2019,2,25,BSS,4,0,7.00,10,0
2019226BSS,2019,2,26,BSS,4,0,5.00,2.3,0
20191210BSS,2019,12,10,BSS,4,1,8.00,NA,NA
2016323LF,2016,3,23,LF,1,0,NA,NA,NA
2016410LF,2016,4,10,LF,1,0,NA,NA,NA
20161019LF,2016,10,19,LF,1,0,NA,NA,NA
2017517LF,2017,5,17,LF,2,0,NA,32.9,0
2017119LF,2017,11,9,LF,2,0,6.83,7.29,0
20171110LF,2017,11,10,LF,2,0,6.83,16.3,0
20171111LF,2017,11,11,LF,2,0,6.83,9.18,0
2018127LF,2018,1,27,LF,3,0,NA,10,0
2018128LF,2018,1,28,LF,3,0,NA,3.1,0
2020128LF,2020,1,28,LF,5,0,NA,13.8,0
2020129LF,2020,1,29,LF,5,0,NA,12,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
