ID,y,m,d,zona,ycodif,cantidad,horas,km,CPUE,balas,nutri
BR21032016,2016,3,21,BR,1,4,5,5,0.8,,
BR31032016,2016,3,31,BR,1,2,11,8.47,0.236127509,,
BR01042016,2016,4,1,BR,1,0,10,14.64,0,,
BR15042016,2016,4,15,BR,1,3,11,13.66,0.219619327,,
BR16042016,2016,4,16,BR,1,1,5,7.63,0.131061599,,
BR25042016,2016,4,25,BR,1,3,9.5,15.61,0.192184497,,
BR26042016,2016,4,26,BR,1,4,10,16.69,0.23966447,,
BR13052016,2016,5,13,BR,1,1,7,9.26,0.107991361,,
BR14052016,2016,5,14,BR,1,1,5,7.36,0.135869565,,
BR27052016,2016,5,27,BR,1,6,5,10.5,0.571428571,,
BR28052016,2016,5,28,BR,1,1,7,10.5,0.095238095,,
BR04062016,2016,6,4,BR,1,3,5,13.24,0.226586103,,
BR05062016,2016,6,5,BR,1,5,4,7.75,0.64516129,,
BR09062016,2016,6,9,BR,1,2,6,7,0.285714286,,
BR10062016,2016,6,10,BR,1,0,5,7.02,0,,
BR23062016,2016,6,23,BR,1,0,7,8.18,0,,
BR24062016,2016,6,24,BR,1,1,5.5,10.61,0.094250707,,
BR01072016,2016,7,1,BR,1,1,12.00,9.50,0.105263158,,
BR02072016,2016,7,2,BR,1,1,4.33,6.80,0.147058824,,
BR07072016,2016,7,7,BR,1,3,5.25,11.70,0.256410256,,
BR23072016,2016,7,23,BR,1,2,6.00,10.61,0.188501414,,
BR24072016,2016,7,24,BR,1,2,5.00,7.02,0.284900285,,
BR15082016,2016,8,15,BR,1,6,9.00,11.20,0.535714286,,
BR16082016,2016,8,16,BR,1,0,6.00,9.00,0,,
BR23092016,2016,9,23,BR,1,2,10.00,17.29,0.1156738,,
BR24092016,2016,9,24,BR,1,4,9.00,12.43,0.321802092,,
BR30092016,2016,9,30,BR,1,2,10.00,14.28,0.140056022,,
BR01102016,2016,10,1,BR,1,1,6.00,14.59,0.068540096,,
BR22102016,2016,10,22,BR,1,0,8.00,8.75,0,,
BR23102016,2016,10,23,BR,1,7,11.00,19.87,0.352289884,,
BR29102016,2016,10,29,BR,1,1,8.00,13.00,0.076923077,,
BR30102016,2016,10,30,BR,1,5,9.00,17.00,0.294117647,,
BR05112016,2016,11,5,BR,1,1,7.00,12.70,0.078740157,,
BR06112016,2016,11,6,BR,1,0,3.00,6.71,0,,
BR18112016,2016,11,18,BR,1,1,4.75,35.10,0.028490028,,
BR19112016,2016,11,19,BR,1,5,10.33,12.80,0.390625,,
BR20112016,2016,11,20,BR,1,2,8.00,14.10,0.141843972,,
BR26112016,2016,11,26,BR,1,2,11.00,12.20,0.163934426,,
BR30112016,2016,11,30,BR,1,1,2.00,2.00,0.5,,
BR07122016,2016,12,7,BR,1,2,7.00,9.00,0.222222222,,
BR17122016,2016,12,17,BR,1,1,8.00,10.18,0.098231827,,
BR23122016,2016,12,23,BR,1,3,8.00,13.45,0.223048327,,
BR28122016,2016,12,28,BR,1,3,9.00,10.50,0.285714286,,
BR31122016,2016,12,31,BR,1,4,8.50,9.30,0.430107527,,
BR04012017,2017,1,4,BR,2,2,7.00,11.40,0.175438596,,
BR06012017,2017,1,6,BR,2,3,8.00,14.30,0.20979021,,
BR14012017,2017,1,14,BR,2,4,10.00,15.50,0.258064516,,
BR18012017,2017,1,18,BR,2,1,7.00,10.60,0.094339623,,
BR26012017,2017,1,26,BR,2,6,5.00,7.60,0.789473684,,
BR27012017,2017,1,27,BR,2,2,7.00,11.70,0.170940171,,
BR31012017,2017,1,31,BR,2,4,4.50,7.00,0.571428571,,
BR02022017,2017,2,2,BR,2,3,5.17,6.64,0.451807229,,
BR09022017,2017,2,9,BR,2,0,5.00,10.70,0,,
BR10022017,2017,2,10,BR,2,1,7.33,10.30,0.097087379,,
BR20022017,2017,2,20,BR,2,1,8.00,11.70,0.085470085,,
BR22022017,2017,2,22,BR,2,0,5.00,5.00,0,,
BR03032017,2017,3,3,BR,2,2,7.00,8.50,0.235294118,,
BR04032017,2017,3,4,BR,2,1,7.00,14.89,0.067159167,,
BR12032017,2017,3,12,BR,2,1,7.00,7.39,0.135317997,,
BR26032016,2016,3,26,BR,1,2,6.00,7.80,0.256410256,,
BR27032017,2017,3,27,BR,2,1,7.00,10.90,0.091743119,,
BR30032017,2017,3,30,BR,2,2,6.00,10.50,0.19047619,,
BR03042017,2017,4,3,BR,2,3,6.00,12.50,0.24,,
BR10042017,2017,4,10,BR,2,0,7.00,13.00,0,,
BR17042017,2017,4,17,BR,2,14,7.00,9.79,1.430030644,,
BR12052017,2017,5,12,BR,2,5,7.00,8.89,0.562429696,,
BR20052017,2017,5,20,BR,2,1,6.00,9.40,0.106382979,,
BR28052017,2017,5,28,BR,2,4,8.00,4.87,0.821355236,,
BR04062017,2017,6,4,BR,2,2,6.00,9.39,0.212992545,,
BR18062017,2017,6,18,BR,2,0,6.50,15.00,0,,
BR19062017,2017,6,19,BR,2,6,7.33,9.90,0.606060606,,
BR25062017,2017,6,25,BR,2,1,NA,NA,NA,,
BR01072017,2017,7,1,BR,2,2,9.00,12.60,0.158730159,,
BR02072017,2017,7,2,BR,2,0,4.50,17.50,0,,
BR15072017,2017,7,15,BR,2,2,5.00,8.65,0.231213873,,
BR16072017,2017,7,16,BR,2,1,6.00,8.73,0.114547537,,
BR22072017,2017,7,22,BR,2,1,9.00,14.80,0.067567568,,
BR29072017,2017,7,29,BR,2,1,4.00,9.10,0.10989011,,
BR05082017,2017,8,5,BR,2,0,7.50,12.70,0,,
BR06082017,2017,8,6,BR,2,1,6.00,6.10,0.163934426,,
BR29082017,2017,8,29,BR,2,1,8.00,10.50,0.095238095,,
BR31082017,2017,8,31,BR,2,0,5.00,7.86,0,,
BR03092017,2017,9,3,BR,2,3,7.00,10.50,0.285714286,,
BR04092017,2017,9,4,BR,2,0,4.00,1.40,0,,
BR05092017,2017,9,5,BR,2,1,6.00,16.50,0.060606061,,
BR16092017,2017,9,16,BR,2,3,4.00,5.80,0.517241379,,
BR17092017,2017,9,17,BR,2,0,3.00,NA,NA,,
BR23092017,2017,9,23,BR,2,16,9.00,14.20,1.126760563,,
BR24092017,2017,9,24,BR,2,1,5.50,12.00,0.083333333,,
BR30092017,2017,9,30,BR,2,4,7.00,12.40,0.322580645,,
BR21112017,2017,11,21,BR,2,2,7.50,10.30,0.194174757,,
BR02122017,2017,12,2,BR,2,11,8.00,12.00,0.916666667,,
BR03122017,2017,12,3,BR,2,4,6.33,9.22,0.433839479,,
BR09122017,2017,12,9,BR,2,7,10.00,14.30,0.48951049,,
BR10122017,2017,12,10,BR,2,0,7.00,10.80,0,,
BR16122017,2017,12,16,BR,2,3,8.00,14.40,0.208333333,,
BR17122017,2017,12,17,BR,2,0,7.50,13.00,0,,
BR02012018,2018,1,2,BR,3,0,8.00,7.68,0,,
BR07012018,2018,1,7,BR,3,5,9.00,9.00,0.555555556,,
BR21012018,2018,1,21,BR,3,5,6.50,10.48,0.477099237,,
BR22012018,2018,1,22,BR,3,0,7.00,6.13,0,,
